route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
T_1972,H13,Portal Tunal,TRONCAL,1,F6891F,FFFFFF,3
T_2032,D10,Portal 80,TRONCAL,1,7A68AE,FFFFFF,3
T_2033,B27,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2034,H27,Portal Tunal,TRONCAL,1,F6891F,FFFFFF,3
T_2044,B11,Terminal,TRONCAL,1,7AC143,FFFFFF,3
T_2045,G11,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2046,B71,Toberin,TRONCAL,1,7AC143,FFFFFF,3
T_2060,2,Museo Nacional,TRONCAL,1,000000,FFFFFF,3
T_2061,2,Portal 0 De Julio,TRONCAL,1,000000,FFFFFF,3
T_2063,D24,Portal 80,TRONCAL,1,7A68AE,FFFFFF,3
T_2066,D20,Portal 80,TRONCAL,1,7A68AE,FFFFFF,3
T_2067,H20,Portal Usme,TRONCAL,1,F6891F,FFFFFF,3
T_2074,C25,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_2077,G30,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2078,C30,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_2083,7,Portal Suba,TRONCAL,1,000000,FFFFFF,3
T_2088,16-14,AEROPUERTO,ALIMENTADOR,4,196939,FFFFFF,3
T_2094,9-9,Portal Americas,ALIMENTADOR,4,196939,FFFFFF,3
T_2095,9-9,Franja Seca,ALIMENTADOR,4,196939,FFFFFF,3
T_2104,1,Universidades,TRONCAL,1,000000,FFFFFF,3
T_2105,1,Portal Eldorado,TRONCAL,1,000000,FFFFFF,3
T_2106,3,Concejo De Bogota,TRONCAL,1,000000,FFFFFF,3
T_2110,2-1,Mirandela,ALIMENTADOR,4,196939,FFFFFF,3
T_2132,D22,Portal 80,TRONCAL,1,7A68AE,FFFFFF,3
T_2133,G22,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2136,M81,Museo Nacional,PADRON,2,00618E,FFFFFF,3
T_2137,M81,Museo Nacional Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2138,B10,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2139,2-5,SAN CRISTOBAL NORTE,ALIMENTADOR,4,196939,FFFFFF,3
T_2140,2-4,EL CODITO,ALIMENTADOR,4,196939,FFFFFF,3
T_2141,2-3,San Antonio,ALIMENTADOR,4,196939,FFFFFF,3
T_2143,B72,Toberin,TRONCAL,1,7AC143,FFFFFF,3
T_2144,J73,Universidades,TRONCAL,1,DD9BA5,FFFFFF,3
T_2148,7,Santa Isabel,TRONCAL,1,000000,FFFFFF,3
T_2151,G41,San Mateo,TRONCAL,1,00A4E4,FFFFFF,3
T_2152,L41,Bicentenario,TRONCAL,1,00AAA6,FFFFFF,3
T_2153,B18,Terminal,TRONCAL,1,7AC143,FFFFFF,3
T_2159,2-10,VERBENAL,ALIMENTADOR,4,196939,FFFFFF,3
T_2170,M84,Museo Nacional,PADRON,2,00618E,FFFFFF,3
T_2174,B50,Calle 161,TRONCAL,1,7AC143,FFFFFF,3
T_2175,C50,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_2176,C17,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_2177,H17,Portal Usme,TRONCAL,1,F6891F,FFFFFF,3
T_2184,D51,Escuela Militar,TRONCAL,1,7A68AE,FFFFFF,3
T_2185,1-7,Quirigua Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_2186,1-7,Portal 80 Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_2187,D81,Circular Calle 72,PADRON,2,00618E,FFFFFF,3
T_2189,10-1,Portal sur- Av Bosa,ALIMENTADOR,4,196939,FFFFFF,3
T_2192,10-2,Circular,ALIMENTADOR,4,196939,FFFFFF,3
T_2193,10-1,Avenida Bosa,ALIMENTADOR,4,196939,FFFFFF,3
T_2195,1-10,Portal 80 - Bolivia Bochica Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_2196,6-5,Arabia Ciclovia,ALIMENTADOR,4,196939,FFFFFF,3
T_2197,6-5,Arabia,ALIMENTADOR,4,196939,FFFFFF,3
T_2198,6-5,P. Tunal,ALIMENTADOR,4,196939,FFFFFF,3
T_2199,8-3,Banderas - Villa Alsacia,ALIMENTADOR,4,196939,FFFFFF,3
T_2202,16-2,ENGATIVA CENTRO,ALIMENTADOR,4,196939,FFFFFF,3
T_2203,10-3,Circular Alameda Portal Sur,ALIMENTADOR,4,196939,FFFFFF,3
T_2205,16-3,DORADO - ALAMOS,ALIMENTADOR,4,196939,FFFFFF,3
T_2207,10-3,Alban Carbonell,ALIMENTADOR,4,196939,FFFFFF,3
T_2208,16-4,MUELLE,ALIMENTADOR,4,196939,FFFFFF,3
T_2209,16-6,LA FAENA,ALIMENTADOR,4,196939,FFFFFF,3
T_2211,10-5,Terminal,ALIMENTADOR,4,196939,FFFFFF,3
T_2214,9-3,Bosa la Libertad,ALIMENTADOR,4,196939,FFFFFF,3
T_2215,16-1,Tierra Grata,ALIMENTADOR,4,196939,FFFFFF,3
T_2216,16-1,TIERRA GRATA,ALIMENTADOR,4,196939,FFFFFF,3
T_2221,1-6,Bolivia Oriental Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_2224,8-5,Banderas - Biblioteca Tintal Refuerzo,ALIMENTADOR,4,196939,FFFFFF,3
T_2227,9-5,Av. Tintal,ALIMENTADOR,4,196939,FFFFFF,3
T_2229,9-2,Metrovivienda,ALIMENTADOR,4,196939,FFFFFF,3
T_2231,9-8,Porvenir,ALIMENTADOR,4,196939,FFFFFF,3
T_2233,8-2,KENNEDY HOSPITAL,ALIMENTADOR,4,196939,FFFFFF,3
T_2235,8-4,CORABASTOS,ALIMENTADOR,4,196939,FFFFFF,3
T_2237,8-1,KENNEDY CENTRAL,ALIMENTADOR,4,196939,FFFFFF,3
T_2240,8-6,Timiza,ALIMENTADOR,4,196939,FFFFFF,3
T_2241,2-2,JARDINES,ALIMENTADOR,4,196939,FFFFFF,3
T_2245,10-4,Laureles,ALIMENTADOR,4,196939,FFFFFF,3
T_2247,E42,Simon Bolivar,TRONCAL,1,AB6B0D,FFFFFF,3
T_2248,G42,San Mateo,TRONCAL,1,00A4E4,FFFFFF,3
T_2249,B46,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2251,6-7,San Joaquin-Portal tunal,ALIMENTADOR,4,196939,FFFFFF,3
T_2252,K43,Portal Eldorado,TRONCAL,1,CFAB7A,FFFFFF,3
T_2253,G46,San Mateo,TRONCAL,1,00A4E4,FFFFFF,3
T_2254,L820,San Isidro,ALIMENTADOR,4,196939,FFFFFF,3
T_2255,H21,Portal Tunal,TRONCAL,1,F6891F,FFFFFF,3
T_2264,F60,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2266,F61,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2269,3,Portal Usme,TRONCAL,1,000000,FFFFFF,3
T_2270,5,Calle 22,TRONCAL,1,000000,FFFFFF,3
T_2271,5,Portal Americas,TRONCAL,1,000000,FFFFFF,3
T_2272,4,Heroes,TRONCAL,1,000000,FFFFFF,3
T_2273,4,Portal Sur,TRONCAL,1,000000,FFFFFF,3
T_2274,6,Universidades,TRONCAL,1,000000,FFFFFF,3
T_2275,6,Portal 80,TRONCAL,1,000000,FFFFFF,3
T_2276,8,Estacion Terminal,TRONCAL,1,000000,FFFFFF,3
T_2278,G12,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2279,B12,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2280,G12,Gral. Santander,TRONCAL,1,00A4E4,FFFFFF,3
T_2281,B23,Alcala,TRONCAL,1,7AC143,FFFFFF,3
T_2282,K23,Portal Dorado,TRONCAL,1,CFAB7A,FFFFFF,3
T_2283,J74,Las Aguas,TRONCAL,1,DD9BA5,FFFFFF,3
T_2284,B74,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2289,E32,Nqs Calle 75,TRONCAL,1,AB6B0D,FFFFFF,3
T_2290,F32,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2292,F19,Banderas,TRONCAL,1,E31B23,FFFFFF,3
T_2295,J23,Las Aguas,TRONCAL,1,DD9BA5,FFFFFF,3
T_2296,F23,Banderas,TRONCAL,1,E31B23,FFFFFF,3
T_2297,J23,Jimenez,TRONCAL,1,DD9BA5,FFFFFF,3
T_2298,F23,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2299,F51,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2300,M51,Museo Nacional,TRONCAL,1,A21984,FFFFFF,3
T_2301,G52,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2302,J24,Universidades,TRONCAL,1,DD9BA5,FFFFFF,3
T_2303,L18,Portal 20 De Julio,TRONCAL,1,00AAA6,FFFFFF,3
T_2304,A52,Flores,TRONCAL,1,20419A,FFFFFF,3
T_2305,H75,Portal Usme,TRONCAL,1,F6891F,FFFFFF,3
T_2306,B75,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2307,8,Estacion Guatoque Veraguas,TRONCAL,1,000000,FFFFFF,3
T_2308,M47,Museo Nacional,TRONCAL,1,A21984,FFFFFF,3
T_2309,G47,Portal Sur,TRONCAL,1,00A4E4,FFFFFF,3
T_2311,F26,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2312,B28,Portal Norte,TRONCAL,1,7AC143,FFFFFF,3
T_2313,F28,Portal Americas,TRONCAL,1,E31B23,FFFFFF,3
T_2319,1-4,CORTIJO,ALIMENTADOR,4,196939,FFFFFF,3
T_2320,C19,Portal Suba,TRONCAL,1,FDBB30,000000,3
T_2321,A60,Calle 76,TRONCAL,1,20419A,FFFFFF,3
T_2322,A61,Calle 72,TRONCAL,1,20419A,FFFFFF,3
T_2323,B26,Alcala,TRONCAL,1,7AC143,FFFFFF,3
T_2324,C84,Suba Lombardia,PADRON,2,00618E,FFFFFF,3
T_2325,K86,Aeropuerto Eldorado Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2325-2,M86,Museo Nacional Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2326,M82,Clinica El Bosque Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2326-2,M82,Calle 134 - Portal 20 de Julio Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2326-3,L82,Portal 20 De Julio Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2328,D81,Av Cl80  Kr119 Ciclovia,PADRON,2,00618E,FFFFFF,3
T_2334,L25,Portal 20 De Julio,TRONCAL,1,00AAA6,FFFFFF,3
T_234,13-10,Villa Del Cerro,ALIMENTADOR,4,196939,FFFFFF,3
T_2345,M86,Museo Nacional,PADRON,2,00618E,FFFFFF,3
T_2345-2,K86,Aeropuerto El Dorado,PADRON,2,00618E,FFFFFF,3
T_373,13-7,Peninsula,ALIMENTADOR,4,196939,FFFFFF,3
T_417,2-2,Jardines,ALIMENTADOR,4,196939,FFFFFF,3
T_420,2-5,San Cristobal,ALIMENTADOR,4,196939,FFFFFF,3
T_426,2-10,Verbenal,ALIMENTADOR,4,196939,FFFFFF,3
T_428,2-8,Expreso 170 Oriental,ALIMENTADOR,4,196939,FFFFFF,3
T_467,1-9,Villas Del Dorado,ALIMENTADOR,4,196939,FFFFFF,3
T_496,1-8,Calle 80,ALIMENTADOR,4,196939,FFFFFF,3
T_502,1-6,Bolivia Oriental,ALIMENTADOR,4,196939,FFFFFF,3
T_508,1-2,Garces Navas,ALIMENTADOR,4,196939,FFFFFF,3
T_519,1-10,Bolivia Bochica Ii,ALIMENTADOR,4,196939,FFFFFF,3
T_520,1-7,Quirigua,ALIMENTADOR,4,196939,FFFFFF,3
T_524,1-3,Villas De Granada,ALIMENTADOR,4,196939,FFFFFF,3
T_527,13-6,Juan Rey,ALIMENTADOR,4,196939,FFFFFF,3
T_594,13-9,TIHUAQUE,ALIMENTADOR,4,196939,FFFFFF,3
T_884,1-1,Alamos,ALIMENTADOR,4,196939,FFFFFF,3
Z_4447,K505,Corferias,URBANO,3,00618E,FFFFFF,3
Z_4447-2,G505,Bosa San Diego,URBANO,3,00618E,FFFFFF,3
Z_4457,C29,Bosa San Diego - Centro,URBANO,3,00618E,FFFFFF,3
Z_4475,544A,Germania,URBANO,3,00618E,FFFFFF,3
Z_4475-2,544A,Bosa San Diego,URBANO,3,00618E,FFFFFF,3
Z_4517,K505,Corferias Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4517-2,G505,Bosa San Diego Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4538,787A,Teusaquillo,URBANO,3,00618E,FFFFFF,3
Z_4538-2,787A,Metrovivienda Potreritos,URBANO,3,00618E,FFFFFF,3
Z_4626,193B,Marly,URBANO,3,00618E,FFFFFF,3
Z_4626-2,193B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_4628,539,Engativa,URBANO,3,00618E,FFFFFF,3
Z_4629,539,Usme,URBANO,3,00618E,FFFFFF,3
Z_4648,P500,Aeropuerto Ciclovia Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4648-2,P500,Chico Ciclovia Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4652,A203,Chico Norte,URBANO,3,00618E,FFFFFF,3
Z_4652-2,D203,Bachue,URBANO,3,00618E,FFFFFF,3
Z_4697,A203,Chico Norte Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4697-2,D203,Bachue Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4741,T40,Marly,URBANO,3,00618E,FFFFFF,3
Z_4741-2,T40,Catalina,URBANO,3,00618E,FFFFFF,3
Z_4788,402,Engativa,URBANO,3,00618E,FFFFFF,3
Z_4788-2,402,Mirandela,URBANO,3,00618E,FFFFFF,3
Z_4791,C1,Roma,URBANO,3,00618E,FFFFFF,3
Z_4791-2,C1,Germania,URBANO,3,00618E,FFFFFF,3
Z_4815,A506,Galerias,URBANO,3,00618E,FFFFFF,3
Z_4815-2,G506,Catalina Ii,URBANO,3,00618E,FFFFFF,3
Z_4827,39,Diana Turbay,URBANO,3,00618E,FFFFFF,3
Z_4828,39,Patio Bonito,URBANO,3,00618E,FFFFFF,3
Z_4848,201A,Fiscala,URBANO,3,00618E,FFFFFF,3
Z_4848-2,201A,Estadio Techo,URBANO,3,00618E,FFFFFF,3
Z_4852,17-3,Modelia,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_4862,A506,Galerias Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4862-2,G506,Catalina Ii Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4878,593,Chico,URBANO,3,00618E,FFFFFF,3
Z_4878-2,593,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_4879,593,Chico Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4879-2,593,Metrovivienda Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4885,SE10,Engativa,URBANO,3,00618E,FFFFFF,3
Z_4885-2,SE10,Germania,URBANO,3,00618E,FFFFFF,3
Z_4899,260,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_4899-2,260,Arabia,URBANO,3,00618E,FFFFFF,3
Z_4916,K904,Salitre Greco,URBANO,3,00618E,FFFFFF,3
Z_4916-2,B904,La Estrellita,URBANO,3,00618E,FFFFFF,3
Z_4925,B404,Calle 222,URBANO,3,00618E,FFFFFF,3
Z_4926,F404,Patio Bonito Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4930,193B,Marly Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4930-2,193B,Bachue Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4974,59B,Chapinero,URBANO,3,00618E,FFFFFF,3
Z_4974-2,59B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_4992,T11,Calle 222,URBANO,3,00618E,FFFFFF,3
Z_4993,T11,Alpes,URBANO,3,00618E,FFFFFF,3
Z_4994,T11,Alpes Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4997,742A,Paraiso,URBANO,3,00618E,FFFFFF,3
Z_4997-2,742A,Bulevar Niza,URBANO,3,00618E,FFFFFF,3
Z_5004,3-2,Santa Librada,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5024,466,Chico Norte,URBANO,3,00618E,FFFFFF,3
Z_5024-2,466,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5029,3-3,Chuniza,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5034,3-5,Usminia,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5042,3-6,Danubio,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5043,3-8,Virrey,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5053,K801,Capellania,URBANO,3,00618E,FFFFFF,3
Z_5053-2,L801,Gaviotas,URBANO,3,00618E,FFFFFF,3
Z_5054,3-9,Marichuela,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5069,N16,Ciudad Jardin,URBANO,3,00618E,FFFFFF,3
Z_5086,6-3,Sierra Morena,URBANO,3,00618E,FFFFFF,3
Z_5086-2,6-3,Portal Tunal,URBANO,3,00618E,FFFFFF,3
Z_5126,6-3,Portal Tunal Refuerzo,URBANO,3,00618E,FFFFFF,3
Z_5126-2,6-3,Sierra Morena Refuerzo,URBANO,3,00618E,FFFFFF,3
Z_5131,19-2,Est. Alcala,URBANO,3,00618E,FFFFFF,3
Z_5135,953,Fiscala Alta,URBANO,3,00618E,FFFFFF,3
Z_5136,953,Tierra Buena,URBANO,3,00618E,FFFFFF,3
Z_5149,17-2,Santa Helenita,URBANO,3,00618E,FFFFFF,3
Z_5149-2,17-2,Est. Av. Rojas,URBANO,3,00618E,FFFFFF,3
Z_5166,A302,Centro,URBANO,3,00618E,FFFFFF,3
Z_5186,T52,Est. Toberin,URBANO,3,00618E,FFFFFF,3
Z_5187,T53,Colina,URBANO,3,00618E,FFFFFF,3
Z_5187-2,T53,Est. Alcala,URBANO,3,00618E,FFFFFF,3
Z_5188,T53,Colina Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5188-2,T53,Est. Alcala Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5212,16-12,Belen,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5224,192,Catalina Ii,URBANO,3,00618E,FFFFFF,3
Z_5224-2,192,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_5229,192,Catalina Ii Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5229-2,192,Unicentro Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5237,K700,Terminal Salitre,URBANO,3,00618E,FFFFFF,3
Z_5238,H700,Bellavista,URBANO,3,00618E,FFFFFF,3
Z_5261,466,Engativa Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5261-2,466,Chico Norte Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5262,A305,Est. Calle 100,URBANO,3,00618E,FFFFFF,3
Z_5285,SE14,Engativa Centro,URBANO,3,00618E,FFFFFF,3
Z_5286,SE14,Diana Turbay,URBANO,3,00618E,FFFFFF,3
Z_5304,111,Gaviotas,URBANO,3,00618E,FFFFFF,3
Z_5304-2,111,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_5305,111,Gaviotas Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5305-2,111,Metrovivienda Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5327,7-1,Uribe Uribe,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5330,D204,Portal Calle 80,URBANO,3,00618E,FFFFFF,3
Z_5330-2,D204,Gran Granada,URBANO,3,00618E,FFFFFF,3
Z_5339,D607,Morato,URBANO,3,00618E,FFFFFF,3
Z_5339-2,H607,Arborizadora Alta,URBANO,3,00618E,FFFFFF,3
Z_5340,A405,Centro Internacional,URBANO,3,00618E,FFFFFF,3
Z_5340-2,F405,Camelia,URBANO,3,00618E,FFFFFF,3
Z_5358,403A,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_5358-2,403A,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5361,801A,Chico,URBANO,3,00618E,FFFFFF,3
Z_5361-2,801A,Engativa,URBANO,3,00618E,FFFFFF,3
Z_5362,801A,Chico Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5362-2,801A,Engativa Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5402,11-2,San Andres,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5403,11-3,Villamaria,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5404,11-5,Av Cali,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5405,11-6,Las Mercedes,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5406,11-7,Pinar,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5435,143,Las Acacias,URBANO,3,00618E,FFFFFF,3
Z_5435-2,143,Germania,URBANO,3,00618E,FFFFFF,3
Z_5439,143,Las Acacias Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5439-2,143,Germania Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5440,P39,Arabia,URBANO,3,00618E,FFFFFF,3
Z_5440-2,P39,Zonafranca,URBANO,3,00618E,FFFFFF,3
Z_5447,11-4,Aures,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5448,5-2,Av. Cali,URBANO,3,00618E,FFFFFF,3
Z_5448-2,5-2,Aures,URBANO,3,00618E,FFFFFF,3
Z_5451,14,Chapinero Central,URBANO,3,00618E,FFFFFF,3
Z_5451-2,14,Betania,URBANO,3,00618E,FFFFFF,3
Z_5453,14,Betania Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5453-2,14,Chapinero Central Ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5467,A805,7 De Agosto,URBANO,3,00618E,FFFFFF,3
Z_5467-2,L805,Gaviotas,URBANO,3,00618E,FFFFFF,3
Z_5479,11-10,Bilbao,ALIMENTADOR_V,4,196939,FFFFFF,3
